,URL,State/Postal,Prices,Address,beds,links
37,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",199900.0," 878 Allison Dr, Columbus, OH 43207 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/878-Allison-Dr-Columbus-OH-43207/34071521_zpid/""tabindex=""0""><addressclass=""list-card-addr"">878AllisonDr,Columbus,OH43207</address></a>"
38,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",305000.0," 6105 Sandgate Rd, Columbus, OH 43229 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/6105-Sandgate-Rd-Columbus-OH-43229/33931067_zpid/""tabindex=""0""><addressclass=""list-card-addr"">6105SandgateRd,Columbus,OH43229</address></a>"
39,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",564900.0," 28 Arden Rd, Columbus, OH 43214 "," 2 2 1,088 - House for sale</li></ul>","https://www.zillow.com/homedetails/28-Arden-Rd-Columbus-OH-43214/33868636_zpid/""tabindex=""0""><addressclass=""list-card-addr"">28ArdenRd,Columbus,OH43214</address></a>"
40,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",234900.0," 2561 Tealwater Trail Dr, Columbus, OH 43207 ", 4 1 936 - House for sale</li></ul>,"https://www.zillow.com/homedetails/2561-Tealwater-Trail-Dr-Columbus-OH-43207/2062764264_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2561TealwaterTrailDr,Columbus,OH43207</address></a>"
41,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",149900.0," 3111 Southfield Dr, Columbus, OH 43207 "," 1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1 570 - Condo for sale</li></ul>","https://www.zillow.com/homedetails/3111-Southfield-Dr-Columbus-OH-43207/33905194_zpid/""tabindex=""0""><addressclass=""list-card-addr"">3111SouthfieldDr,Columbus,OH43207</address></a>"
42,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",124900.0," 5239 Portland St APT 301, Columbus, OH 43235 "," 4 3 2,448 - House for sale</li></ul>","https://www.zillow.com/homedetails/5239-Portland-St-APT-301-Columbus-OH-43235/33941939_zpid/""tabindex=""0""><addressclass=""list-card-addr"">5239PortlandStAPT301,Columbus,OH43235</address></a>"
43,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",124900.0," 1440 Slade Ave APT 204, Columbus, OH 43235 "," 3 2 1,564 - House for sale</li></ul>","https://www.zillow.com/homedetails/1440-Slade-Ave-APT-204-Columbus-OH-43235/33942575_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1440SladeAveAPT204,Columbus,OH43235</address></a>"
44,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",94900.0," 1274 Lee Ave, Columbus, OH 43219 "," 4 2 1,472 - House for sale</li></ul>","https://www.zillow.com/homedetails/1274-Lee-Ave-Columbus-OH-43219/33911585_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1274LeeAve,Columbus,OH43219</address></a>"
45,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",174900.0," 535 Clairbrook Ave, Columbus, OH 43228 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/535-Clairbrook-Ave-Columbus-OH-43228/34093710_zpid/""tabindex=""0""><addressclass=""list-card-addr"">535ClairbrookAve,Columbus,OH43228</address></a>"
46,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",249900.0," 110 Letchworth Ave, Columbus, OH 43204 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/110-Letchworth-Ave-Columbus-OH-43204/33873859_zpid/""tabindex=""0""><addressclass=""list-card-addr"">110LetchworthAve,Columbus,OH43204</address></a>"
47,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",579900.0," 635 E Cooke Rd, Columbus, OH 43214 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/635-E-Cooke-Rd-Columbus-OH-43214/33881115_zpid/""tabindex=""0""><addressclass=""list-card-addr"">635ECookeRd,Columbus,OH43214</address></a>"
48,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",98500.0," 525 Ryan Ave, Columbus, OH 43223 "," 2 2 1,088 - House for sale</li></ul>","https://www.zillow.com/homedetails/525-Ryan-Ave-Columbus-OH-43223/33865078_zpid/""tabindex=""0""><addressclass=""list-card-addr"">525RyanAve,Columbus,OH43223</address></a>"
49,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",148000.0," 2237 Gerbert Rd, Columbus, OH 43211 ", 4 1 936 - House for sale</li></ul>,"https://www.zillow.com/homedetails/2237-Gerbert-Rd-Columbus-OH-43211/33871402_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2237GerbertRd,Columbus,OH43211</address></a>"
